Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
334,0,0.642271,-0.623779,1.157782,-727.469055,-792.848572,373.705933
335,0,0.648869,-0.621842,1.17006,-727.499268,-792.844788,373.679474
336,0,0.651704,-0.620987,1.174078,-727.499268,-792.828064,373.68219
337,0,-0.679599,-0.609955,-1.123507,-728.908813,-793.475464,373.71637
338,0,-0.687539,-0.607431,-1.13805,-728.751465,-793.325867,373.660828
339,0,-0.696604,-0.604472,-1.153112,-728.815125,-793.273193,373.672974
340,0,0.616219,-0.638235,1.111991,-727.790833,-793.134827,373.631104
341,0,0.628239,-0.633917,1.133875,-727.870056,-793.146423,373.602325
342,0,0.642552,-0.629651,1.158617,-727.860535,-793.118286,373.60318
343,0,-0.757155,-0.581807,-1.259431,-728.985229,-793.379578,373.706024
344,0,-0.764414,-0.578707,-1.274094,-728.785095,-793.256104,373.628357
345,0,-0.782327,-0.571611,-1.302757,-729.046326,-793.387085,373.691101
346,0,-0.786007,-0.571153,-1.308671,-729.019958,-793.39563,373.702728
347,0,-0.792474,-0.567036,-1.32296,-728.758972,-793.28656,373.649139
348,0,-0.79666,-0.565603,-1.329577,-728.996216,-793.416443,373.707794
349,0,0.639681,-0.630962,1.153118,-727.834595,-793.084412,373.568726
350,0,0.649752,-0.628007,1.170642,-727.79126,-793.134644,373.625031
351,0,0.664041,-0.623093,1.194933,-727.802673,-793.111755,373.627411
352,0,0.673041,-0.620857,1.209643,-727.8526,-793.147339,373.601593
353,0,0.681266,-0.61733,1.224755,-727.783875,-793.148071,373.650696
354,0,0.688811,-0.615646,1.236728,-727.806091,-793.159668,373.673798
355,0,-0.713276,-0.598098,-1.182542,-728.889771,-793.476746,373.769226
356,0,-0.72208,-0.595103,-1.197766,-728.595703,-793.233887,373.645721
357,0,-0.730331,-0.593168,-1.21135,-728.260193,-793.004639,373.596985
358,0,0.605059,-0.632656,1.100893,-726.945251,-792.320496,373.444641
359,0,0.611936,-0.629448,1.117688,-726.878235,-791.926086,373.27533
360,0,0.619056,-0.625549,1.133983,-727.085266,-791.588867,373.15918
361,0,0.623059,-0.621551,1.145315,-727.249268,-791.126404,373.06958
362,0,0.629409,-0.616625,1.162546,-727.383545,-790.625732,372.807343
